split,image,psnr,ssim,lpips,runtime_s,latent_seed
lsrw_nikon,3001.jpg,19.09731137201084,0.7658285148467577,0.20569920539855957,1.9442152976989746,2164290530990440643
lsrw_nikon,3002.jpg,18.959333171529764,0.660422477793874,0.09895212948322296,1.6361212730407715,2678836294398483092
lsrw_nikon,3003.jpg,10.133005029393829,0.23270929021076625,0.33725079894065857,1.645397424697876,4470721322012622155
lsrw_nikon,3004.jpg,15.980611535405922,0.5028235481047673,0.19603629410266876,1.6646323204040527,1222667166125210111
lsrw_nikon,3005.jpg,19.740150355473077,0.4322904560211743,0.20844069123268127,1.6730563640594482,259457902327793138
lsrw_nikon,3006.jpg,18.61915069776639,0.6781458988452783,0.13098840415477753,1.6801366806030273,7840744755829074882
lsrw_nikon,3007.jpg,18.291450314167047,0.26758034805026015,0.24442462623119354,1.7009062767028809,7949316109355584337
lsrw_nikon,3008.jpg,17.160626190570806,0.25772314816536773,0.15790489315986633,1.7099652290344238,8658385018657464284
lsrw_nikon,3010.jpg,9.304371990616906,0.2760293539222681,0.31539103388786316,1.7282912731170654,1731770171631153739
lsrw_nikon,3012.jpg,15.198552064843478,0.4412966300071299,0.2712264657020569,1.751589059829712,2189663826247574075
lsrw_nikon,3013.jpg,18.090050254446783,0.4226758470333032,0.21597914397716522,1.7585082054138184,4724686047560809815
lsrw_nikon,3014.jpg,17.357125476628127,0.4414005717293197,0.2901409864425659,1.7540662288665771,1463454377260657420
lsrw_nikon,3015.jpg,10.370194011231447,0.21186045725295546,0.386447548866272,1.7410871982574463,2563122465406311976
lsrw_nikon,3016.jpg,15.10972149674151,0.45603410690600005,0.08112934231758118,1.7229118347167969,290404330895178258
lsrw_nikon,3017.jpg,12.227431714674905,0.5014270618675366,0.19839951395988464,1.699448823928833,8334413837269994284
lsrw_nikon,3019.jpg,14.32616902370329,0.4771677067814675,0.3178369700908661,1.6942806243896484,3076037488566424413
