split,image,psnr,ssim,lpips,runtime_s,latent_seed
lsrw_huawei,2038.jpg,16.67249422374349,0.4108735882839532,0.5116215348243713,2.195524215698242,8517904837396128729
lsrw_huawei,2039.jpg,17.685495095107168,0.4047448037545225,0.29946959018707275,1.8951985836029053,3812193165595668684
lsrw_huawei,2041.jpg,19.23960356928269,0.6433865679845295,0.42015311121940613,1.881917953491211,5090478900546815580
lsrw_huawei,2042.jpg,17.14871962036456,0.6058913370729367,0.4272524118423462,1.8960833549499512,2783836431351210475
lsrw_huawei,2043.jpg,15.925356619007838,0.45673706399456554,0.5041623711585999,1.9096083641052246,9033396845009299707
lsrw_huawei,2044.jpg,17.736272095950593,0.3889210710528342,0.5498531460762024,1.9218840599060059,892419194806518913
lsrw_huawei,2046.jpg,18.438754717748537,0.42057960745075046,0.538311243057251,1.929710865020752,5078274919994362600
lsrw_huawei,2047.jpg,16.36569242623455,0.44994785433032947,0.3721776604652405,1.9540321826934814,4865515775314814393
lsrw_huawei,2048.jpg,14.282001177478943,0.5951491796717528,0.3941066265106201,0.4902665615081787,8351569092081456740
lsrw_huawei,2050.jpg,19.891926776217698,0.35758436686015777,0.36408644914627075,1.9614925384521484,137622800079821398
lsrw_huawei,2051.jpg,16.80546015435509,0.5867727739080291,0.21173156797885895,1.959764003753662,3380926338251035652
lsrw_huawei,2052.jpg,19.76133281013642,0.7030869229157131,0.4013160467147827,1.9640421867370605,6283741107238306658
lsrw_huawei,2053.jpg,18.587244268676912,0.7480601972613238,0.42007967829704285,1.9848134517669678,3255188036233439220
lsrw_huawei,2054.jpg,19.590961648588138,0.5782781109887741,0.41037192940711975,2.012312412261963,2367431373149780075
lsrw_huawei,2055.jpg,13.104174231508061,0.5198828800168629,0.5162674188613892,2.0166313648223877,6511316896998009595
lsrw_huawei,2056.jpg,18.130991210102845,0.5571078660151995,0.6270163655281067,2.0356624126434326,4567511023462450227
lsrw_huawei,2057.jpg,18.952966004767095,0.7340708850945789,0.33784177899360657,2.048064708709717,3190471547590663620
lsrw_huawei,2058.jpg,17.833980936450978,0.625566839405432,0.46373534202575684,2.0651144981384277,7335864875785901248
lsrw_huawei,2059.jpg,23.82867481219931,0.655138595036823,0.25077560544013977,2.092697858810425,5793278770645036201
lsrw_huawei,2061.jpg,18.93427907648845,0.546782224848928,0.5230731964111328,2.1159486770629883,4266048171615811712
lsrw_huawei,2063.jpg,21.047014031917435,0.6459082367148204,0.39139026403427124,2.123413562774658,5974034017164626772
lsrw_huawei,2064.jpg,14.010446273478204,0.422654914602932,0.25967276096343994,2.1490018367767334,4876413939247430515
lsrw_huawei,2065.jpg,15.748919500903195,0.5741477685232349,0.24552346765995026,2.137057304382324,7863302246654759625
