method,n_training_seeds,psnr_mean,psnr_std_across_training_seeds,ssim_mean,ssim_std_across_training_seeds,lpips_mean,lpips_std_across_training_seeds
anchor_only,1,21.87198780358642,,0.8098089067660584,,0.2096960074454546,
fsd,1,22.562039391802095,,0.81423068926193,,0.19387638777494431,
fsd_arr,1,22.562039391802095,,0.81423068926193,,0.19387638777494431,
transferred_teacher,1,22.591108353487698,,0.813330172973339,,0.19363336101174355,
