split,image,psnr,ssim,lpips,generated_sha256
lolv2_real,low00724.png,19.230084130585443,0.786960519770627,0.2151334285736084,521411f8d8b169a87c3675e097257a8b92196effe92df43cccc643db22a56a01
lolv2_real,low00725.png,19.188988150477012,0.8074170787793417,0.2075541615486145,66f3bea08e5b4bd8da1b8c5dfd84cfb435bce5e542d3e336b7fef204b166a74d
lolv2_real,low00726.png,20.226569649065,0.8786568669125735,0.2008780986070633,0bdf98be1ec64b82406fc54e454680c12dc57381da9f1a85839fe96550615a96
lolv2_real,low00727.png,26.443367740410487,0.9194689935114958,0.10879521816968918,691f11346e970ee84aba1e74954f0ee06f69eaeec45371b5335afb41bee2adf9
lolv2_real,low00728.png,22.771753891781184,0.8392228297256263,0.15784770250320435,62736975001a770f1ec6587ca5f0a23d2df3e0f5ac22ed9abbe1de69487a8a03
lolv2_real,low00729.png,28.56103372352606,0.920999944620697,0.10158973932266235,16d356b849eefec54ac7947125804d067c23e576ccc20363239eceb91fe6f5df
lolv2_real,low00730.png,27.970070909543274,0.9232153257417132,0.09574007987976074,88f6a81f0c44d41d1e333ce993d85dd36aef83aac71d75fa26625dc84a421b76
lolv2_real,low00731.png,25.237900079018335,0.8989569252907595,0.0724874958395958,7e959330becdbe7de18e4fb4fe634d4fef5c6c7499e8a9847c26434d6f9124b4
lolv2_real,low00732.png,24.818732116022538,0.8974321318670397,0.07137158513069153,fc17cc9aa9c393bf93f80e70a5b59b4f2cceae24731924320a36cd8dcfb86816
lolv2_real,low00733.png,27.44189971316696,0.9080067834992683,0.07378385215997696,dc734e3d86b2de30e79e71f2df823e2cc196e5919831e6ff195314427f4dc0e3
lolv2_real,low00734.png,27.117802472776752,0.9072875851065282,0.07683761417865753,83ff6f9b95f5f14f2badbc017383fbf06f200b17f1db9e7516a55ae5f25949a6
lolv2_real,low00735.png,25.754288304288735,0.8561272713589383,0.08506233990192413,f1831114c1bab415cc7065887d19ee0208fab04b67f44e88f196f14157077437
