split,image,psnr,ssim,lpips,runtime_s,latent_seed
lolv2_real_test,low00690.png,27.34106796439014,0.8302783815627001,,1.5734591484069824,712776539657968180
lolv2_real_test,low00691.png,26.288385921016687,0.7890287889295823,,1.1787025928497314,3886815055059375840
lolv2_real_test,low00692.png,24.600871501326772,0.8461203608832898,,1.1769039630889893,1632525761488114469
lolv2_real_test,low00693.png,24.622629279786516,0.8507774203450378,,1.1830942630767822,4669740608681539896
lolv2_real_test,low00694.png,24.41721108285774,0.839965316764031,,1.1851956844329834,4044002903267000690
lolv2_real_test,low00695.png,24.30907141024644,0.8386598706452001,,1.1845388412475586,5108160362288320311
lolv2_real_test,low00696.png,20.951952688382075,0.7635769562786136,,1.1837632656097412,3678095656053135704
lolv2_real_test,low00697.png,20.71498993417952,0.7525840107234171,,1.1854498386383057,1361855967218370468
lolv2_real_test,low00698.png,20.92770677440605,0.7572249642192315,,1.1886677742004395,7366204465869842145
lolv2_real_test,low00699.png,20.558184511159073,0.7368054008285321,,1.191554307937622,2087820825209648161
lolv2_real_test,low00700.png,21.908226875112,0.7660280243182962,,1.1828534603118896,2083496106649737463
lolv2_real_test,low00701.png,22.138887682249244,0.7762058173811807,,1.1903564929962158,1978219628186949261
lolv2_real_test,low00702.png,18.353008786806093,0.828481199460431,,1.1997029781341553,6013962240560403298
lolv2_real_test,low00703.png,18.341346241259604,0.830215991806997,,1.1984302997589111,301294041225248384
lolv2_real_test,low00704.png,18.26990688352995,0.828005443003652,,1.2038180828094482,4777005791356671093
lolv2_real_test,low00705.png,19.651112017900584,0.7848800946750907,,1.2108697891235352,6181877482764777975
lolv2_real_test,low00706.png,19.720215901007553,0.7859757755634305,,1.210829734802246,6825716119697030979
lolv2_real_test,low00707.png,19.547147160947272,0.7836661427996939,,1.217714786529541,1725681485814780128
lolv2_real_test,low00708.png,25.474222499430628,0.8187190756932975,,1.2182056903839111,8694143118503673167
lolv2_real_test,low00709.png,25.27004848662174,0.8235802745594679,,1.2275471687316895,8293256753817123542
lolv2_real_test,low00710.png,26.26190047605791,0.8972006853433047,,1.2308151721954346,1886981806094424604
lolv2_real_test,low00711.png,26.56346906523816,0.8987232420836103,,1.234170913696289,6530688125121438633
lolv2_real_test,low00712.png,14.01737215006732,0.8131630877747208,,1.2314224243164062,5162999284459563587
lolv2_real_test,low00713.png,14.064418304939919,0.8137001569281295,,1.237919569015503,6883706276422883503
lolv2_real_test,low00714.png,22.705926527517832,0.8423312613325757,,1.2498860359191895,4677900623797024194
lolv2_real_test,low00715.png,22.87661042736492,0.8476361945052583,,1.246687412261963,8052616288253138782
lolv2_real_test,low00716.png,20.456939746824926,0.8572518986914522,,1.247474193572998,4336299408104444213
lolv2_real_test,low00717.png,20.07213960208977,0.7920769813637069,,1.2533619403839111,495125562662175890
lolv2_real_test,low00718.png,27.820564623364117,0.9043336581290307,,1.255016803741455,626046908300499594
lolv2_real_test,low00719.png,27.806335366844554,0.9075287534210865,,1.259955644607544,94139688856376345
lolv2_real_test,low00720.png,18.682149277381804,0.8375668486159332,,1.261549711227417,3382119838185113699
lolv2_real_test,low00721.png,18.47739828176386,0.836455572797176,,1.2686271667480469,4181696165365288840
lolv2_real_test,low00722.png,19.77423727662857,0.8851714541328294,,1.2717499732971191,302408640980104317
lolv2_real_test,low00723.png,19.738149072413627,0.8840602275641594,,1.272946834564209,3342801585206742424
lolv2_real_test,low00724.png,19.22189879524376,0.7861441133670145,,1.2792768478393555,1104513840268887131
lolv2_real_test,low00725.png,19.240866169326388,0.8075893303696272,,1.2847800254821777,4988103978962626852
lolv2_real_test,low00726.png,21.038174897508185,0.8862002880469717,,1.2863178253173828,9066141689536200508
lolv2_real_test,low00727.png,24.73608836804634,0.9074691077160294,,1.2963824272155762,4791778298869052101
