split,input_n,input_psnr,input_ssim,discovered_low,excluded,output_psnr,output_ssim,output_lpips,delta_psnr,checkpoint_sha256,evaluation_seed,inference_steps,sampler,gate_alpha
lol_v1_eval15,15,7.773328136578076,0.1914046211289365,15,0,18.99778733839232,0.7746910235425873,0.22919924358526866,11.224459201814245,5d7bac873b0b915fe6c0679b103fea9afe25f70de3958cab8da3d8779d156a37,99173,5,ddim,0.0
lolv2_synthetic,100,11.220930053260606,0.45004408916683053,100,0,16.166007424127173,0.7718428842867197,0.24403469420969487,4.945077370866567,5d7bac873b0b915fe6c0679b103fea9afe25f70de3958cab8da3d8779d156a37,99173,5,ddim,0.0
lsrw_huawei,23,9.03935200668184,0.14245521452905896,30,7,17.81403309916123,0.5491858111212601,0.41043432899143384,8.774681092479389,5d7bac873b0b915fe6c0679b103fea9afe25f70de3958cab8da3d8779d156a37,99173,5,ddim,0.0
lsrw_nikon,16,9.330902323091173,0.24164110713880785,20,4,15.622828418700259,0.4390884635961391,0.22851550299674273,6.291926095609085,5d7bac873b0b915fe6c0679b103fea9afe25f70de3958cab8da3d8779d156a37,99173,5,ddim,0.0
ve_lol_synthetic,100,10.759848578286375,0.30530350591656974,100,0,14.709333968468462,0.4823821070608945,0.5592090624570847,3.9494853901820868,5d7bac873b0b915fe6c0679b103fea9afe25f70de3958cab8da3d8779d156a37,99173,5,ddim,0.0
